,airline,date_of_journey,departure_city,departure_time,reaching_time,stops,destination_city,journey_time,others,ticket fare
0,Go First,"Sun, 30 Jan",Hyderabad,20:05,"01:20
+ 1 day",1 Stop,Mumbai,5h 15m,"Flight Details
eCash 250","4,452"
1,Go First,"Sun, 30 Jan",Hyderabad,22:20,"09:30
+ 1 day",1 Stop,Mumbai,11h 10m,"Flight Details
eCash 250","4,452"
2,Go First,"Sun, 30 Jan",Hyderabad,20:05,"07:50
+ 1 day",1 Stop,Mumbai,11h 45m,"Flight Details
eCash 250","4,452"
3,IndiGo,"Sun, 30 Jan",Hyderabad,10:45,12:15,Non Stop,Mumbai,1h 30m,"Flight Details
eCash 250","4,453"
4,IndiGo,"Sun, 30 Jan",Hyderabad,08:30,10:05,Non Stop,Mumbai,1h 35m,"Flight Details
eCash 250","4,453"
5,Vistara,"Sun, 30 Jan",Hyderabad,12:55,14:30,Non Stop,Mumbai,1h 35m,"Flight Details
No Meal Fare
Emissions: 169 Kg CO2
eCash 250","4,453"
6,Air India,"Sun, 30 Jan",Hyderabad,22:15,23:55,Non Stop,Mumbai,1h 40m,"Flight Details
Free Meal
Emissions: 169 Kg CO2
eCash 250","4,453"
7,IndiGo,"Sun, 30 Jan",Hyderabad,21:45,23:25,Non Stop,Mumbai,1h 40m,"Flight Details
eCash 250","4,926"
8,IndiGo,"Sun, 30 Jan",Hyderabad,17:45,19:15,Non Stop,Mumbai,1h 30m,"Flight Details
eCash 250","5,136"
9,IndiGo,"Sun, 30 Jan",Hyderabad,15:00,16:35,Non Stop,Mumbai,1h 35m,"Flight Details
eCash 250","6,081"
10,Air India,"Sun, 30 Jan",Hyderabad,13:15,"08:20
+ 1 day",2 Stop(s),Mumbai,19h 05m,"Flight Details
Free Meal
Emissions: 239 Kg CO2
eCash 250","7,026"
11,Air India,"Sun, 30 Jan",Hyderabad,16:15,22:10,1 Stop,Mumbai,5h 55m,"Flight Details
Free Meal
Emissions: 652 Kg CO2
eCash 250","7,774"
12,Air India,"Sun, 30 Jan",Hyderabad,20:50,"09:05
+ 1 day",1 Stop,Mumbai,12h 15m,"Flight Details
Free Meal
Emissions: 652 Kg CO2
eCash 250","7,774"
13,Air India,"Sun, 30 Jan",Hyderabad,06:30,20:00,1 Stop,Mumbai,13h 30m,"Flight Details
Free Meal
Emissions: 652 Kg CO2
eCash 250","7,774"
14,Air India,"Sun, 30 Jan",Hyderabad,06:30,21:15,1 Stop,Mumbai,14h 45m,"Flight Details
Free Meal
Emissions: 652 Kg CO2
eCash 250","7,774"
15,Air India,"Sun, 30 Jan",Hyderabad,06:30,21:35,2 Stop(s),Mumbai,15h 05m,"Flight Details
Free Meal
Emissions: 652 Kg CO2
eCash 250","7,774"
16,Air India,"Sun, 30 Jan",Hyderabad,06:30,22:10,1 Stop,Mumbai,15h 40m,"Flight Details
Free Meal
Emissions: 652 Kg CO2
eCash 250","7,774"
17,Air India,"Sun, 30 Jan",Hyderabad,16:15,"09:05
+ 1 day",1 Stop,Mumbai,16h 50m,"Flight Details
Free Meal
Emissions: 652 Kg CO2
eCash 250","7,774"
18,Air India,"Sun, 30 Jan",Hyderabad,20:50,"18:00
+ 1 day",2 Stop(s),Mumbai,21h 10m,"Flight Details
Free Meal
Emissions: 652 Kg CO2
eCash 250","7,774"
19,Air India,"Sun, 30 Jan",Hyderabad,20:50,"20:00
+ 1 day",1 Stop,Mumbai,23h 10m,"Flight Details
Free Meal
Emissions: 652 Kg CO2
eCash 250","7,774"
20,Air India,"Sun, 30 Jan",Hyderabad,20:50,"21:15
+ 1 day",1 Stop,Mumbai,24h 25m,"Flight Details
Free Meal
Emissions: 652 Kg CO2
eCash 250","7,774"
21,Air India,"Sun, 30 Jan",Hyderabad,20:50,"22:10
+ 1 day",1 Stop,Mumbai,25h 20m,"Flight Details
Free Meal
Emissions: 652 Kg CO2
eCash 250","7,774"
22,Air India,"Sun, 30 Jan",Hyderabad,10:45,"16:25
+ 1 day",3 Stop(s),Mumbai,29h 40m,"Flight Details
Free Meal
Emissions: 363 Kg CO2
eCash 250","8,928"
23,Air India,"Sun, 30 Jan",Hyderabad,13:05,21:05,1 Stop,Mumbai,8h 00m,"Flight Details
Free Meal
Emissions: 350 Kg CO2
eCash 250","9,178"
24,Air India,"Sun, 30 Jan",Hyderabad,11:00,21:05,2 Stop(s),Mumbai,10h 05m,"Flight Details
Free Meal
Emissions: 350 Kg CO2
eCash 250","9,178"
25,Air India,"Sun, 30 Jan",Hyderabad,20:45,"08:35
+ 1 day",1 Stop,Mumbai,11h 50m,"Flight Details
Free Meal
Emissions: 350 Kg CO2
eCash 250","9,178"
26,Air India,"Sun, 30 Jan",Hyderabad,13:05,"08:35
+ 1 day",1 Stop,Mumbai,19h 30m,"Flight Details
Free Meal
Emissions: 350 Kg CO2
eCash 250","9,178"
27,Air India,"Sun, 30 Jan",Hyderabad,11:00,"08:35
+ 1 day",2 Stop(s),Mumbai,21h 35m,"Flight Details
Free Meal
Emissions: 350 Kg CO2
eCash 250","9,178"
28,Air India,"Sun, 30 Jan",Hyderabad,20:45,"21:05
+ 1 day",1 Stop,Mumbai,24h 20m,"Flight Details
Free Meal
Emissions: 350 Kg CO2
eCash 250","9,178"
